feature_set,n_features,features,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_pr_auc,cv_std_pr_auc,cv_mean_f1,cv_std_f1,inner_cv_mean_roc_auc,inner_cv_std_roc_auc,holdout_roc_auc,holdout_pr_auc,holdout_f1,holdout_n,holdout_positives,holdout_probability_min,holdout_probability_p01,holdout_probability_p10,holdout_probability_median,holdout_probability_p90,holdout_probability_p99,holdout_probability_max,holdout_n_prob_lt_001,holdout_n_prob_gt_099
FULL,14,"E_density, S_density, G_density, hedge_score, pct_numeric, talk_total_density, vague_to_specific_ratio, text_length, esg_topic_breadth, e_s_g_dispersion, sector_rank, planet_friendly_business, honest_fair_business, sector_encoded",0.941334,0.047454,0.722262,0.120412,0.647363,0.111657,0.93631,0.032588,0.884259,0.789701,0.666667,78,6,0.0,0.0,0.0,1e-06,0.029601,0.999918,0.999975,69,4
CLEAN,9,"hedge_score, pct_numeric, vague_to_specific_ratio, text_length, esg_topic_breadth, e_s_g_dispersion, planet_friendly_business, honest_fair_business, sector_encoded",0.482846,0.138407,0.096355,0.036891,0.0,0.0,0.496506,0.025839,0.423611,0.073589,0.0,78,6,0.0,0.0,0.0,4.8e-05,0.054245,0.810149,0.98174,65,0
