ticker,company_name,exchange,sector,overall_rating,planet_friendly_business,honest_fair_business,no_war_no_weapons,fair_pay_worker_respect,better_health_for_all,safe_smart_tech,kind_to_animals,respect_cultures_communities,fair_money_economic_opportunity,fair_trade_ethical_sourcing,zero_waste_sustainable_products
MRK,Merck & Company Inc,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,-30,-10,0,10,40,10,-20,25,0,-30,0
MRNA,Moderna Inc,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,30,-30,-20,10,40,0,0,0,0,0,0
MS,Morgan Stanley,US,Security and commodity contracts brokerage,Mixed,-40,-60,-20,-30,10,-60,-10,25,-20,0,-20
MSCI,MSCI Inc,US,Fund management activities,Mixed,40,40,-10,40,0,30,0,0,0,0,0
MSFT,Microsoft Corporation,US,Computer programming activities,Mixed,30,10,-60,-20,30,-30,10,50,30,-20,30
MSI,Motorola Solutions Inc,US,Manufacture of communication equipment,Mixed,-30,10,0,-10,10,10,0,-10,0,-30,10
MTB,M&T Bank Corporation,US,Other monetary intermediation,Mixed,10,0,0,-30,10,-50,0,25,20,0,0
MTCH,Match Group Inc,US,Web portals,Mixed,-10,-50,0,-20,10,-20,0,25,0,0,0
MTD,Mettler-Toledo International Inc,US,"Manufacture of measuring, testing, navigating and control equipment",Mixed,40,10,0,-20,10,20,0,0,0,-20,-20
MU,Micron Technology Inc,US,Manufacture of electronic components and boards,Mixed,-40,-20,0,-20,0,10,0,25,0,10,0
NCLH,Norwegian Cruise Line Holdings Ltd,US,Sea and coastal passenger water transport,Mixed,-30,10,0,-30,0,0,-10,25,0,-30,-20
NDAQ,Nasdaq Inc,US,Administration of financial markets,Mixed,40,40,0,20,0,30,0,10,0,0,0
NDSN,Nordson Corporation,US,Manufacture of other general-purpose machinery,Mixed,-40,10,0,-30,20,10,0,0,0,-20,10
NEE,Nextera Energy Inc,US,"Electric power generation, transmission and distribution",Mixed,30,-20,0,0,10,10,-10,-30,0,0,0
NEM,Newmont Goldcorp Corp,US,Mining of other non-ferrous metal ores,Mixed,-30,-10,10,-20,10,0,-20,25,0,-40,-20
NFLX,Netflix Inc,US,"Motion picture, video and television programme distribution activities",Mixed,-30,-20,0,-20,0,-30,0,25,0,0,0
NI,NiSource Inc,US,"Electric power generation, transmission and distribution",Mixed,-30,10,0,-20,10,10,0,25,0,0,0
NKE,Nike Inc,US,"Manufacture of wearing apparel, except fur apparel",Mixed,-30,-30,0,-30,20,-30,-20,25,0,-30,0
NOC,Northrop Grumman Corporation,US,Manufacture of air and spacecraft and related machinery,Mixed,-40,-20,-80,-40,0,-30,0,25,0,-30,-20
NOW,ServiceNow Inc,US,Computer programming activities,Mixed,30,-20,-20,20,20,-20,0,0,0,0,0
NRG,NRG Energy Inc.,US,"Electric power generation, transmission and distribution",Mixed,-30,-20,-10,10,-20,20,0,25,0,-10,-10
NSC,Norfolk Southern Corporation,US,Freight rail transport,Mixed,0,-30,0,-30,-10,0,-10,25,0,-10,-20
NTAP,NetApp Inc,US,"Wholesale of computers, computer peripheral equipment and software",Mixed,-30,10,-20,10,10,40,0,0,0,-30,30
NTRS,Northern Trust Corporation,US,Other monetary intermediation,Mixed,-20,20,0,0,10,-40,10,25,-20,0,-20
NUE,Nucor Corp,US,Manufacture of basic iron and steel,Mixed,-30,-10,-20,10,10,-10,0,-25,0,-20,30
NVDA,NVIDIA Corporation,US,Manufacture of electronic components and boards,Mixed,0,-20,-40,-10,20,0,0,0,0,-30,-20
NVR,NVR Inc,US,Construction of buildings,Mixed,-30,-30,0,-40,0,0,-10,0,0,-30,-20
NWS,News Corp B,US,"Publishing of newspapers, journals and periodicals",Mixed,-30,-20,0,-30,-10,-10,-10,-10,0,0,60
NWSA,News Corp A,US,"Publishing of newspapers, journals and periodicals",Mixed,10,0,0,-20,0,-50,0,-25,0,0,30
NXPI,NXP Semiconductors NV,US,Manufacture of electronic components and boards,Mixed,0,10,-20,0,0,10,0,0,0,-30,-10
O,Realty Income Corporation,US,Real estate activities with own or leased property,Mixed,10,20,0,10,0,0,0,0,0,0,0
ODFL,Old Dominion Freight Line Inc,US,Freight transport by road,Mixed,-20,-10,0,-10,10,10,0,0,0,0,-10
OKE,ONEOK Inc,US,Transport via pipeline,Mixed,-40,20,0,10,0,0,-10,0,0,0,0
OMC,Omnicom Group Inc,US,Advertising,Mixed,30,-20,-30,-20,10,-40,0,25,0,0,-10
ON,ON Semiconductor Corporation,US,Manufacture of electronic components and boards,Mixed,30,-20,0,-20,10,10,0,0,0,10,-20
ORCL,Oracle Corporation,US,Computer programming activities,Mixed,-30,-30,-40,-40,30,-50,30,0,0,-20,0
