ticker,company_name,exchange,sector,overall_rating,planet_friendly_business,honest_fair_business,no_war_no_weapons,fair_pay_worker_respect,better_health_for_all,safe_smart_tech,kind_to_animals,respect_cultures_communities,fair_money_economic_opportunity,fair_trade_ethical_sourcing,zero_waste_sustainable_products
VMC,Vulcan Materials Company,US,"Quarrying of stone, sand and clay",Mixed,-30,-10,0,-20,-20,0,10,25,0,-20,-20
VRSK,Verisk Analytics Inc,US,"Data processing, hosting and related activities",Mixed,0,30,0,20,20,-30,0,0,0,0,0
VRSN,VeriSign Inc,US,"Data processing, hosting and related activities",Mixed,0,-10,0,0,10,-30,0,0,0,0,0
VRTX,Vertex Pharmaceuticals Inc,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,0,10,0,40,20,0,-40,25,0,0,-20
VST,Vistra Energy Corp,US,"Electric power generation, transmission and distribution",Mixed,-30,-20,0,-30,-10,0,0,25,0,-20,-10
VTR,Ventas Inc,US,Real estate activities with own or leased property,Mixed,10,-10,0,-10,30,0,0,0,0,0,0
VTRS,Viatris Inc,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,-30,-40,0,0,30,0,-10,25,0,-10,-20
VZ,Verizon Communications Inc,US,Wireless telecommunications activities,Mixed,-30,-40,-30,-20,30,-40,0,40,10,-20,-20
WAB,Westinghouse Air Brake Technologies Corp,US,Manufacture of railway locomotives and rolling stock,Mixed,-30,-20,-10,-20,0,0,0,0,0,-10,30
WAT,Waters Corporation,US,"Manufacture of measuring, testing, navigating and control equipment",Mixed,30,20,-20,10,20,10,-10,0,0,-30,30
WBA,Walgreens Boots Alliance Inc,US,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",Mixed,-30,-30,0,-20,30,-30,-10,25,0,0,0
WBD,Warner Bros Discovery Inc,US,"Motion picture, video and television programme production activities",Mixed,-30,-20,10,-20,10,-30,0,25,0,-10,-20
WDAY,Workday Inc,US,Computer programming activities,Mixed,30,60,-10,20,10,0,10,0,0,0,0
WDC,Western Digital Corporation,US,Manufacture of computers and peripheral equipment,Mixed,-30,20,-20,-20,0,-70,0,0,0,-10,-20
WEC,WEC Energy Group Inc,US,"Electric power generation, transmission and distribution",Mixed,-30,20,0,-20,-10,20,0,25,0,-10,0
WELL,Welltower Inc,US,Real estate activities with own or leased property,Mixed,-30,-20,0,-20,20,0,0,25,0,0,-20
WFC,Wells Fargo & Company,US,Other monetary intermediation,Mixed,-40,-30,-20,-30,0,-30,0,25,-20,-10,-10
WM,Waste Management Inc,US,Collection of non-hazardous waste,Mixed,30,40,0,-30,10,-10,10,-25,0,0,40
WMB,Williams Companies Inc,US,Transport via pipeline,Mixed,-40,-20,0,-10,0,0,10,25,0,0,-20
WMT,Walmart Inc,US,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",Mixed,-30,-20,0,-30,30,10,-20,0,10,-30,-20
WRB,W. R. Berkley Corp,US,Non-life insurance,Mixed,10,0,0,-20,10,-40,0,0,0,0,0
WST,West Pharmaceutical Services Inc,US,Manufacture of medical and dental instruments and supplies,Mixed,-20,10,0,0,30,10,0,0,0,-10,-10
WTW,Willis Towers Watson PLC,US,Activities of insurance agents and brokers,Mixed,-30,0,0,-10,20,10,0,0,0,0,0
WY,Weyerhaeuser Company,US,Silviculture and other forestry activities,Mixed,30,-20,0,-20,-10,0,10,25,0,-20,-20
WYNN,Wynn Resorts Limited,US,Short term accommodation activities,Mixed,-30,-30,0,20,0,0,10,25,0,-20,-30
XEL,Xcel Energy Inc,US,"Electric power generation, transmission and distribution",Mixed,-40,30,-10,20,-10,20,10,25,0,-10,-20
XOM,Exxon Mobil Corp,US,Extraction of crude petroleum,Mixed,-30,-40,-10,-40,-40,-30,0,-25,-10,-20,-30
XYL,Xylem Inc,US,"Manufacture of other pumps, compressors, taps and valves",Mixed,40,0,0,10,30,30,0,50,0,-30,30
YUM,Yum! Brands Inc,US,Restaurants and mobile food service activities,Mixed,-30,-30,0,-30,-20,-40,-20,25,0,-20,-30
ZBH,Zimmer Biomet Holdings Inc,US,Manufacture of medical and dental instruments and supplies,Mixed,-30,-30,-20,-20,0,0,0,25,0,-40,-30
ZBRA,Zebra Technologies Corporation,US,Manufacture of computers and peripheral equipment,Mixed,-30,30,-10,40,20,20,0,0,0,-20,-20
ZTS,Zoetis Inc,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,-40,10,-10,-20,20,10,-20,25,0,-20,10
